set comp := HSBA	RDSA	RIO	BP	GSK	DGE	AZN	VOD	CLEN	ULVR;
set date := r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	r51	r52	r53	r54	r55	r56	r57	r58	r59	r60	r61	r62	r63	r64	r65	r66	r67	r68	r69	r70	r71	r72	r73	r74	r75	r76	r77	r78	r79	r80	r81	r82	r83	r84	r85	r86	r87	r88	r89	r90	r91	r92	r93	r94	r95	r96	r97	r98	r99	r100	r101	r102	r103	r104;

param matrix: HSBA	RDSA	RIO	BP	GSK	DGE	AZN	VOD	CLEN	ULVR :=
r80	-0.045856379	-0.020792401	-0.044986485	-0.029966575	-0.013022742	0.014084543	-0.032968426	-0.002052883	-0.106200036	0.025724987
r81	-0.030010769	-0.019018751	-0.043049985	0.014797798	-0.017508292	-0.024570619	-0.045791308	-0.038807301	0.006798475	-0.04277661
r82	0.035516289	0	0.04662634	0.034695822	-0.013944188	-0.020951996	-0.00723504	-0.007399258	0.03951178	-0.026985811
r83	0.077751079	0.046739845	0.153011091	0.01598398	0.023445344	0.010983281	0	0.009890077	0.137792335	0.012660189
r84	-0.032407388	0.038968849	-0.010738912	0.019051873	0.040296937	0.013517156	0.054418329	0.033151704	-0.086477442	0.023222713
r85	-0.014373742	-0.005366799	0.009290346	-0.02702703	0.017992081	0.00936322	0.006526787	0.00847253	-0.009589993	0.007640869
r86	-0.023395762	-0.012076525	-0.047443454	-0.010224079	0.003249163	0.000267637	0.004370118	0.004600892	-0.059701503	0.0137164
r87	-0.005649747	0.017075943	0.016999992	0.040209684	-0.009298979	-0.002402538	-0.037962198	0	0.134791847	0.000807484
r88	0.027370897	-0.005067016	-0.005964272	-0.067137695	0.020437936	-0.000533635	0.005595738	-0.017627171	-0.114374968	-0.004181441
r89	-0.029528221	0.021931126	0.126019915	0.0870142	-0.028713247	0.017128218	-0.043643774	0.010966521	0.247563319	0.003874671
r90	0.038901809	0.071617166	-0.016389104	-0.013983876	0.036253019	0.019961688	0.064882916	0.02770605	0.083192645	0.020764758
r91	0.02145791	0.024581987	0.023816049	0.054737165	0.014668048	0.040102438	0.006548956	0.036505211	0.202518777	0.030395638
r92	-0.038112996	-0.006188715	0.016226544	-0.051761006	-0.026766665	-0.02143056	-0.015330347	-0.00748792	-0.036123397	-0.000135704
r93	-0.069977599	0.011198819	0.060676804	-0.067668165	-0.026407266	-0.046696757	-0.08423395	-0.075480111	0.141595843	-0.03808761
r94	0.026587379	0.094448408	0.036589043	0.066345249	0.0341361	0.014535569	0.029125059	0.020277926	0.138712284	0.056868839
r95	-0.012662224	0.026646922	0.006084593	0.043028313	0.020535228	0.037130153	0.030851053	0.014797621	0.069115665	0.043058831
r96	-0.026848254	-0.017454508	-0.054916626	0.028749566	-0.005833054	-0.010497304	-0.027362638	-0.030486379	-0.051368194	0.007198078
r97	-0.069190665	-0.098951492	-0.121495299	-0.071468917	-0.001092411	-0.025047107	-0.057944315	0.009276026	-0.143678137	-0.050572358
r98	-0.009421642	-0.019909965	-0.01345631	-0.032654665	-0.002180254	0	0.016850361	0.020078485	-0.020779237	0.012279424
r99	0.022864615	0.063888037	0.077315523	0.078544167	0.031484164	0.027109279	0.03854497	0.025319489	0.142715739	0.024813905
r100	0.062650601	0.006879907	-0.012198454	0.003846029	0.028131162	0.000553571	0.009584309	0.015133283	-0.052828849	0.026938575
r101	-0.048346961	-0.083254707	-0.093945223	-0.060328028	-0.016300253	-0.044685322	-0.025213891	-0.034330825	-0.021995583	-0.016469816
r102	-0.02168645	-0.042861376	-0.053660741	-0.069460722	-0.034053406	-0.017407117	-0.015623279	-0.045394182	-0.049956452	-0.028859374
r103	0.007155152	0.013149846	-0.042247333	0.013768707	0.003306327	-0.001815401	0.002889221	0.027165675	-0.004873876	0.008768746
r104	0.034879045	0.062661114	0.023172761	0.046090611	0.051497858	0.04300788	0.099047422	0.014065546	-0.008377153	0.035221584;
